CountryCode,Name,District,Population
ESP,Córdoba,Andalusia,311708
ESP,Vigo,Galicia,283670
ESP,"Alicante [Alacant]",Valencia,272432
ESP,Gijón,Asturia,267980
ESP,"L´Hospitalet de Llobregat",Katalonia,247986
ESP,Granada,Andalusia,244767
ESP,"A Coruña (La Coruña)",Galicia,243402
ESP,Vitoria-Gasteiz,Baskimaa,217154
ESP,"Santa Cruz de Tenerife","Canary Islands",213050
ESP,Badalona,Katalonia,209635
ESP,Oviedo,Asturia,200453
ESP,Móstoles,Madrid,195351
ESP,"Elche [Elx]",Valencia,193174
ESP,Sabadell,Katalonia,184859
ESP,Santander,Cantabria,184165
ESP,"Jerez de la Frontera",Andalusia,182660
ESP,"Pamplona [Iruña]",Navarra,180483
ESP,"Donostia-San Sebastián",Baskimaa,179208
